RowIndex,Meteorology_Total,SMG_Total,Meteorology_ObjectNames,SMG_ObjectNames,Meteorology_Makers,SMG_Makers,Meteorology_organisations/institutions,SMG_organisations/institutions,Meteorology_Dates,SMG_Dates,Meteorology_Places,SMG_Places,Meteorology_Descriptions,SMG_Descriptions,Meteorology_Other,SMG_Other,Unique_to_Meteorology,Unique_to_SMG
23,13,4,1,1,1,0,2,0,1,0,1,0,4,2,3,1,"{""object_names"": [], ""makers"": [""F. J. Smith, Esq.""], ""organisations/institutions"": [""Central Aircraft Co."", ""London""], ""dates"": [""1921"", ""1919""], ""places"": [], ""descriptions"": [""model shown represents a two-seater dual-control biplane"", ""designed and first manufactured"", ""primarily intended for training purposes"", ""with certain modifications, it may be used as a three-seater for passenger carrying"", ""may also be converted into a seaplane by the addition of a pair of pontoon floats""], ""other"": [""Inv. 1921-530"", ""S.M. 1490"", ""L.S""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Aeronautics model - representation"", ""model - representation""], ""other"": []}"
24,12,4,1,1,1,0,1,0,2,0,1,0,3,2,3,1,"{""object_names"": [], ""makers"": [""Petters, Ltd.""], ""organisations/institutions"": [""Yeovil""], ""dates"": [""1920"", ""1922""], ""places"": [], ""descriptions"": [""small four-seater passenger-carrying machine"", ""Noteworthy details of construction are the arrangement of the four seats and the patented tail plane adjustment gear."", ""The mechanism of the latter is not shown in the model.""], ""other"": [""Scale 1 : 12"", ""Inv. 1920-452"", ""S.M. 1485"", ""L.S.""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Aeronautics model - representation"", ""model - representation""], ""other"": []}"
25,24,5,1,3,1,0,1,0,1,0,1,0,16,2,3,0,"{""object_names"": [""\""BRISTOL\"" PULLMAN TRIPLANE""], ""makers"": [""The Bristol Aeroplane Co., Ltd.""], ""organisations/institutions"": [""Bristol Aeroplane Co., Ltd.""], ""dates"": [""1920""], ""places"": [""Bristol""], ""descriptions"": [""model represents the large passenger-carrying aeroplane"", ""manufactured by the Bristol Aeroplane Co."", ""capable of accommodating fourteen persons, in addition to the pilot and mechanic."", ""for a non-stop flight of 600 miles."", ""machine climbs to 5,000 ft. in 5 minutes"", ""climbs to 10,000 ft. in 12 minutes"", ""maximum attainable height is about 15,000 ft. with full load."", ""has a lifting capacity of 2,700 lb., with fuel for a 5 hours' flight"", ""or a capacity of 4,000 lb. with fuel for 2.5 hours."", ""Wing span of top and centre planes, 81 ft. 8 in."", ""of bottom plane, 78 ft. 3 in."", ""over-all length, 52 ft."", ""maximum height, 20 ft."", ""chord of the wings, 8 ft. 8 in."", ""wing area, 1,905 sq. ft."", ""wing loading, 9.3 lb. per sq. ft."", ""landing speed, 55 miles per hour"", ""weight empty, 11,000 lb."", ""fully loaded, 17,750 lb.""], ""other"": [""Inv. 1920-473"", ""S.M. 1487"", ""L.S.""]}","{""object_names"": [""Bristol Triplane"", ""Aeronautics model""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""representation"", ""model - representation""], ""other"": []}"
26,27,16,5,5,1,1,0,1,1,0,1,0,18,5,1,4,"{""object_names"": [""AEROPLANE FRAMEWORK"", ""Farman Biplane"", ""Wright Biplane"", ""Wright-Clarke Glider"", ""Clarke Surface""], ""makers"": [""T. W. K. Clarke & Co.""], ""organisations/institutions"": [], ""dates"": [""1913"", ""1910"", ""1922""], ""places"": [""Brooklands""], ""descriptions"": [""five full-size examples shown illustrate the construction of the framework of the main planes of some of the principal types of aeroplanes in use in 1910."", ""The framework consisted of two parallel transverse main spars of ash, which passed from one extremity of the plane to the other, and across which were fastened the curved ribs."", ""The front spar was flush with the front or leading edge of the wing, but the ribs overlapped the rear spar by a distance of about 1.8 ft., and thus formed a flexible trailing edge."", ""The special spars of I section were of white poplar."", ""The maximum camber was 3.6 in. at a distance of one-quarter the chord from the front edge."", ""Two parallel transverse spars of spruce were employed, that at the front edge of the wing being rounded off, and here the connection between the spar and the ribs was strengthened by fitting a light metal strap round the spar and fastening it to the ribs."", ""A flexible trailing edge was formed as in the Farman biplane."", ""The ribs at the extremities of the wings were of less camber than those in the centre."", ""The maximum camber was 4 in. at a distance of about 2.5 ft. from the front edge."", ""The construction of the framework is generally similar to that of the Wright biplane."", ""The spars are of spruce and the front spar is rounded off to form a blunt cutting edge."", ""The maximum camber is 3 in."", ""This construction was designed by Mr. T. W. K. Clarke."", ""The main transverse spars are of channel section, built of ash."", ""The spacing of the ribs is 9 in., and the maximum camber is 3 in. at a distance of one-third the chord from the front edge."", ""This construction was copied from an actual standard Bl\u00e9riot monoplane at Brooklands, and represents a later type of surface than is shown on the model of Bl\u00e9riot XI (see No. 10)."", ""It has additional transverse stringer pieces running the whole length of each wing.""], ""other"": [""Inv. 1913-426""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [], ""descriptions"": [""Five sample sections of built up surface framework of:-"", ""(a) Wright Clarke Gilder;"", ""(b) Bleriot Monoplane;"", ""(c) Clarke aeroplane;"", ""(d) Farman Biplane;"", ""(e) Wright Biplane""], ""other"": [""Aeronautics collection of plane sections"", ""collection of plane sections""]}"
27,9,8,1,2,1,1,1,0,2,1,0,1,3,2,1,1,"{""object_names"": [""HOLLOW SPARS""], ""makers"": [""T. W. K. Clarke & Co.""], ""organisations/institutions"": [""Meteorology Catalogue 1922""], ""dates"": [""1913"", ""1914""], ""places"": [], ""descriptions"": [""examples of early forms of hollow spars and struts for aeronautical work"", ""Hollow forms of spars and struts were employed to reduce weight without greatly affecting the strength"", ""built up from two or more portions glued together, so as to produce the most economical section for the purpose desired""], ""other"": [""Inv. 1914-85""]}","{""object_names"": [""Hollow Spar sections, parts of aeroplane wings and struts"", ""hollow spar sections""], ""makers"": [""Thomas Wigston Kinglake Clarke""], ""organisations/institutions"": [], ""dates"": [""1880-1914""], ""places"": [""Kingston upon Thames""], ""descriptions"": [""parts of aeroplane wings and struts"", ""Aeronautics""], ""other"": [""7""]}"
28,9,4,1,2,1,1,0,0,1,0,2,0,3,1,1,0,"{""object_names"": [""SEAPLANE FLOAT""], ""makers"": [""Lieut.-Colonel F. K. McClean, A.F.C.""], ""organisations/institutions"": [], ""dates"": [""1919"", ""August, 1912""], ""places"": [""Isle of Sheppey"", ""Westminster""], ""descriptions"": [""one of the floats from the Short seaplane used by Colonel McClean in his flight up the Thames"", ""The deck has been removed so that the construction may be seen. It consists of a light wooden framework, rigidly braced with piano wire, and the whole covered with thin wood."", ""Used by Colonel McClean in his flight up the Thames""], ""other"": [""Inv. 1919-494"", ""1922""]}","{""object_names"": [""Aeroplane Float"", ""Aeroplane Float, ex Short S.33 Aeronautics float""], ""makers"": [""Short Brothers Limited""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""float""], ""other"": []}"
29,16,6,2,3,1,0,1,0,1,0,0,0,10,3,1,0,"{""object_names"": [""TRACTOR AIRSCREW""], ""makers"": [""The War Office""], ""organisations/institutions"": [""War Office""], ""dates"": [""1913"", ""1922""], ""places"": [], ""descriptions"": [""SHOWING METHOD OF CONSTRUCTION"", ""Modern airscrews are built up of from four to eight separate laminations of walnut or mahogany, which are glued together stepwise."", ""When set, the whole is pegged, and the sections at various points are worked out in accordance with the drawings, the remainder of the material being shaped in smooth curves to correspond."", ""The four-bladed tractor airscrew shown, illustrates this process."", ""The B.E. 2 type tractor airscrew represented is constructed of five lamin\u00e6 of walnut glued together."", ""One blade is shown in this, the first stage of manufacture."", ""The second blade shows the glued-up block pegged and cut away, being shaped into curves to agree with the sections at various points previously determined from drawings."", ""The third blade illustrates the stage prior to varnishing."", ""The shaping to final section was accomplished by hand, special attention being paid to the leading and trailing edges."", ""The pitch angle and blade section was checked, and the whole sand-papered and covered with a wood-filler."", ""The fourth blade shows the airscrew in its finished state."", ""The wood has been given two or three successive coats of copal varnish, being rubbed down after each coat with powdered pumice and a final coat of varnish applied.""], ""other"": [""Inv. 1913-456""]}","{""object_names"": [""Incomplete four bladed propeller"", ""model of a complete propeller""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""showing construction"", ""for a B.E.2 aeroplane""], ""other"": [""Aircraft Propulsion"", ""propellers"", ""propellers""]}"
30,14,4,1,1,1,0,1,0,2,0,0,0,8,2,1,1,"{""object_names"": [""NORMALE TYPE PROPELLERS""], ""makers"": [""The Dover Aviation Co., Ltd.""], ""organisations/institutions"": [""The Dover Aviation Co., Ltd.""], ""dates"": [""1922"", ""1913""], ""places"": [], ""descriptions"": [""six specimens illustrate the various stages in the manufacture of a type of square-bladed propeller used by the pioneers of flight"", ""The method of construction is similar to that described in the adjacent exhibit of a tractor airscrew of the B.E.2 type"", ""The first specimen (on the left) shows the four separated laminations of walnut arranged stepwise with twelve rivets in position"", ""The second specimen shows the laminations glued together and held tight by the rivets"", ""The third specimen shows the laminations cut away for final shaping, the rivets having been removed"", ""The fourth specimen illustrates the stage prior to sheathing"", ""The wood has been shaped to the correct curvature and planed"", ""The fifth specimen shows the propeller with tips sheathed and ready for varnishing"", ""The sixth specimen shows the complete polished and varnished propeller""], ""other"": [""Inv. 1913-574""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Six (6) specimens showing construction of 'Normale' propellers"", ""Aircraft Propulsion specimen""], ""other"": [""specimen""]}"
31,13,4,1,2,1,0,1,0,1,0,1,0,7,2,1,0,"{""object_names"": [""ARMOURED PROPELLER""], ""makers"": [""The Integral Propeller Co., Ltd.""], ""organisations/institutions"": [""The Integral Propeller Co., Ltd.""], ""dates"": [""1920""], ""places"": [""London""], ""descriptions"": [""fitted with a sheathing of naval brass"", ""render it, to some extent, proof against machine-gun fire and other projectiles"", ""metal covering is designed to deflect projectiles"", ""prevent thereby any penetration and consequent damage to the propeller"", ""metal sheathing has been set flush with the blade and riveted at regular intervals over its whole area"", ""rivets have been applied alternately from face and back, headed and filed to form a smooth surface"", ""whole sheathing was subsequently machined in order to give it the correct shape""], ""other"": [""Inv. 1920-448""]}","{""object_names"": [""Integral Armoured Propeller""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Aircraft Propulsion"", ""propeller; propeller""], ""other"": []}"
32,10,6,1,2,1,1,1,0,2,0,0,0,4,1,1,2,"{""object_names"": [""WILBUR WRIGHT CONTROL""], ""makers"": [""Lieut.-Colonel F. K. McClean, A.F.C.""], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1922"", ""1913""], ""places"": [], ""descriptions"": [""This shows the general arrangement and details of the control mechanism on the early type of Wright biplane."", ""The tail has been shortened and the main planes cut away, a special frame being arranged to demonstrate the warp of the wings."", ""The portions coloured grey are those of the actual biplane."", ""A detailed description of this control is given in the label shown with the model of the 1908 type of Wright biplane (see No. 7).""], ""other"": [""Inv. 1913-659""]}","{""object_names"": [""Rudder, Foreplane, Bundle of struts""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Aeronautics control; control Wright, Wilbur""], ""other"": [""Wilbur Wright control for aeroplane"", ""control Wright, Wilbur""]}"
33,17,11,1,3,2,1,1,1,3,1,2,1,7,4,1,0,"{""object_names"": [""BL\u00c9RIOT CONTROL""], ""makers"": [""D. S. B. Shannon, Esq.""], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1920"", ""26th April, 1912"", ""1908""], ""places"": [""Holyhead"", ""Dublin""], ""descriptions"": [""This is a portion of the Bl\u00e9riot monoplane which first crossed the Irish Channel from Holyhead to Dublin on 26th April, 1912."", ""The control is of the type patented by M. Bl\u00e9riot in 1908."", ""The mechanism consists of a hand lever universally jointed to a bracket, which is supported by a platform on the fuselage."", ""At the lower end of the lever is a bell-shaped fitting, called the \u201ccloche,\u201d to the edge of which four wires are attached at equal intervals."", ""The fore-and-aft wires operate the rear elevator, whilst those at the side operate the wing warping."", ""The latter control wires do not lead directly to the wing tips from the cloche, but are taken to a rocking lever, supported at the apex of an inverted triangular mast attached to the underside of the fuselage."", ""This rocking lever actuates a drum, round which the wires to the wing tips are wound in opposite directions."", ""The vertical hand lever also carries the ignition advance lever and a throttle lever."", ""A pedal operates the rudder""], ""other"": [""Inv. 1920-33""]}","{""object_names"": [""Control mechanism of Bleriot's monoplane"", ""Portion of Fuselage containing control mechanism"", ""Bleriot Monoplane""], ""makers"": [""Bl\u00e9riot, Louis (designer)""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""circa 1909""], ""places"": [""France""], ""descriptions"": [""Aeronautics aeroplane"", ""aircraft"", ""fuselages"", ""monoplanes""], ""other"": []}"
34,12,8,1,1,1,2,0,0,1,1,0,1,8,2,1,1,"{""object_names"": [], ""makers"": [""C. H. M. A. Alderson, Esq.""], ""organisations/institutions"": [], ""dates"": [""1907""], ""places"": [], ""descriptions"": [""This steam engine was constructed to provide power for propelling the model shown suspended from the ceiling (see No. 1)."", ""It was placed inside the car, at the after end, in a vertical position, and was connected with the propeller on the flying machine by endless cords running over the wooden pulleys shown."", ""The engine is direct-acting, and has a single cylinder 1\u00b75 in. diameter, by 3 in. stroke."", ""On the crank-shaft is fixed the grooved pulley for driving the propellers."", ""The framework consists of an angle-iron structure containing the bearings for the crank-shaft and supporting the cylinder."", ""The boiler consisted of 50 inverted truncated cones arranged around and above the furnace, and connected with a steam drum; they presented 100 sq. ft. of heating surface."", ""The air-cooled tubular condenser gave a vacuum of from 5 to 8 lb."", ""The speed of this model engine was to be 300 revolutions per minute, and the actual engine was intended to develop 25 to 30 h.p.""], ""other"": [""Inv. 1907-28""]}","{""object_names"": [], ""makers"": [""William Samuel Henson"", ""John Frederick Stringfellow""], ""organisations/institutions"": [], ""dates"": [""1840-1842""], ""places"": [""England""], ""descriptions"": [""with engine stand"", ""Aircraft Propulsion engines; engines""], ""other"": [""with engine stand incorporating steam supply pipes""]}"
35,19,11,2,3,1,1,1,1,1,1,0,2,12,2,2,1,"{""object_names"": [""ENGINES AND PROPELLER FOR FLYING MACHINE"", ""compound engines""], ""makers"": [], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""Plate V, No. I"", ""One of the compound engines and the two-bladed propeller which it drove on Sir Hiram Maxim\u2019s flying machine are shown."", ""The engine weighs only 300 lb. and exerts 180 h.p., or over \u00b75 h.p. for every pound of weight."", ""The high-pressure cylinder is 5\u00b705 in., and the low-pressure 8 in. diameter, with a stroke of 12 in."", ""Steam is distributed by piston valves with a travel of 3 in."", ""the high-pressure cut-off is at \u00b775 of the stroke, and the low pressure at \u00b7625."", ""The speed of the engines is 375 revolutions per minute."", ""The boiler pressure is 300 lb. per sq. in."", ""The propeller is 17\u00b783 ft. diameter, of the two-bladed type, 16 ft. pitch, and 5\u00b716 ft. wide"", ""the two engines and propellers have driven the machine along at the speed of 40 miles per hour"", ""obtained a horizontal thrust of 2,000 lb. from the air passing them."", ""L.S.""], ""other"": [""Inv. 1896-98"", ""S.M. 1385""]}","{""object_names"": [""Model of Maxim Flying machine"", ""Full size steam engine for flying machine"", ""Full size screw propeller for flying machine""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1892""], ""places"": [""Baldwyns Park, Bexley, England, United Kingdom"", ""Kent, England, United Kingdom""], ""descriptions"": [""Aeronautics model"", ""model""], ""other"": []}"
36,25,9,1,1,1,1,1,1,5,1,0,0,16,3,1,2,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1922"", ""1904\u20135"", ""1911""], ""places"": [], ""descriptions"": [""four-cycle vertical cylinder engine"", ""embodying the patents taken out by Mr. G. Green and others"", ""especially designed for use on flying machines"", ""entered for the Alexander Motor Prize Competition"", ""awarded the prize of \u00a31,000 offered by Mr. P. Y. Alexander"", ""four cylinders, 140 mm. (5\u00b75 in.) diameter by 146 mm. (5\u00b785 in.) stroke"", ""valve chambers, are separate steel castings"", ""held to a closed aluminium crank chamber by lugs on the lower flanges of the cylinders"", ""Copper water jackets are employed"", ""special joint at their lower ends are free to expand and contract"", ""grooved flange formed on the cylinder contains a rubber ring, over which the jacket is forced by being slightly bell-mouthed"", ""joint thus made is perfectly watertight, while allowing free movement of the jacket"", ""crank chamber is an aluminium casting, webbed on the inside to provide bearings for the crank-shaft"", ""separate lower portion attached to the casting by aluminium straps; this lower portion forms an oil sump"", ""hollow crank-shaft"", ""pair of gear wheels that drive the magneto and cam-shaft spindles"", ""enclosed by the end plate of the crank chamber"", ""bracket supporting the magneto and water pump"", ""cam-shaft, which is arranged above the cylinders"", ""driven from the crank-shaft by a vertical spindle at its end"", ""pair of bevel wheels at the top of the spindle and the gear wheels at the bottom forming the connecting links"", ""Completely enclosing the cam-shaft is an aluminium case"", ""providing bearings for its support"", ""case being itself supported by four brackets above the cylinders"", ""inlet and exhaust valves are of the mushroom type"", ""mounted in cylindrical cages"", ""held down by aluminium nuts, which form domes over the valve springs"", ""valves are operated from the cam-shaft by rocking levers pivoted on extensions of the cam-shaft casing"", ""Auxiliary exhaust ports are provided in the cylinder walls just below the water jackets""], ""other"": [""Inv. 1913-427""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""60 H.P."", ""Pictorial Collection Aircraft Propulsion engines""], ""other"": [""(1)"", ""(2) framed Diploma. Item (2) now 1988-749""]}"
37,7,8,1,1,0,1,1,0,1,1,0,0,1,2,3,2,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""The Air Ministry""], ""dates"": [], ""places"": [], ""descriptions"": [], ""other"": [""Plate V, No. 2"", ""Inv. 1919-427"", ""S.M. 1381""]}","{""object_names"": [], ""makers"": [""Green""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""with one \""Z + 6\"" Bosch Magneto"", ""4 pipes connecting rod and scraper ring""], ""other"": [""Aircraft Propulsion engines"", ""engines Green (maker)""]}"
38,14,12,1,1,1,0,2,0,1,1,0,1,7,5,2,4,"{""object_names"": [], ""makers"": [""The Disposal Board, Ministry of Munitions""], ""organisations/institutions"": [""R.A.F.""], ""dates"": [], ""places"": [], ""descriptions"": [""built in large numbers"", ""used successfully in the early part of the war"", ""smaller type"", ""two sets of cylinders being arranged at an angle of 60 degrees"", ""Two B. and B. type carburetters are fitted"", ""ignition is effected by two six-cylinder B.T.H. magnetos attached to brackets on the propeller end of the engine"", ""normal b.h.p., 160"", ""normal speed of rotation, 1,800 revolutions per minute"", ""order of firing, 1, 7, 4, 10, 2, 8, 6, 12, 3, 9, 5, 11"", ""A 2 to 1 reduction gear is fitted""], ""other"": [""Inv. 1920-38""]}","{""object_names"": [""140 H.P. R.A.F. engine no. 944 W.D. No. 4811""], ""makers"": [], ""organisations/institutions"": [""Aircraft Propulsion engines""], ""dates"": [], ""places"": [""England""], ""descriptions"": [""with exhaust manifold"", ""two exhaust pipes"", ""carburettor"", ""cowling"", ""sectioned throttle valve, attached to cast steel fuel pipe""], ""other"": [""no. 944"", ""W.D. No. 4811"", ""unsigned"", ""engines""]}"
39,8,6,1,1,1,0,1,1,1,0,0,0,3,2,1,2,"{""object_names"": [""SUNBEAM \u201cNUBIAN II.\u201d AERO ENGINE.""], ""makers"": [""Disposal Board, Ministry of Munitions""], ""organisations/institutions"": [""Ministry of Munitions""], ""dates"": [""1920""], ""places"": [], ""descriptions"": [""The \u201cNubian\u201d is an earlier type of the \u201cCossack\u201d aero engine (see No. 46), but has eight cylinders only, the two blocks being set at 90 degrees."", ""Details of construction and design are almost identical with those of the \u201cCossack\u201d engine."", ""b.h.p., 164; normal speed of rotation, 2,100 revolutions per minute; reduction gear ratio, 1.625 : 1; rotational speed of propeller, 1,290 revolutions per minute.""], ""other"": [""1922 Entry"", ""Inv. 1920-36""]}","{""object_names"": [""Sunbeam 'Nubian' aero engine""], ""makers"": [], ""organisations/institutions"": [""War Department""], ""dates"": [], ""places"": [], ""descriptions"": [""Aircraft Propulsion aero engine"", ""aero engine Sunbeam""], ""other"": [""No. 8012"", ""No. 42074"", ""155 hp""]}"
40,33,6,1,2,2,1,3,0,3,0,1,0,20,1,3,2,"{""object_names"": [""B.R.I. AERO ENGINE""], ""makers"": [""Captain W. O. Bentley, M.B.E."", ""Messrs. Humber, Ltd.""], ""organisations/institutions"": [""The Disposal Board, Ministry of Munitions"", ""B.R.I.""], ""dates"": [""1920"", ""1914\u20131918"", ""1922""], ""places"": [""Coventry""], ""descriptions"": [""Bentley Rotary engine"", ""nine-cylinder rotary air-cooled engine"", ""cylinders of which are of aluminium shrunk on to cast-iron liners"", ""arranged radially round a fixed crank-shaft"", ""Each cylinder is provided at its lower end with five shallow stiffening ribs"", ""above which is a series of deep radiating fins"", ""The combustion heads, which are of machined steel, are made in one piece with the induction pockets"", ""into which steel inlet valve guides are pressed"", ""while the exhaust valve cages, into which cast-iron valve guides are pressed, are also in one piece with the heads"", ""The cylinders and combustion heads are attached to the crank-case by four long bolts located at the corners of each cylinder"", ""the cooling fins being cut away to allow clearance"", ""The pistons are of aluminium alloy"", ""have slightly concave heads"", ""are provided with five very shallow cast-iron rings set in grooves near the top of the piston"", ""Holes are drilled in the piston skirt to allow the oil from inside the piston to escape on to the cylinder walls"", ""The connecting-rods are of tubular section steel"", ""with the exception of the master-rod, are bushed with phosphor bronze at both ends"", ""The master rod is bushed with phosphor bronze at the piston end only"", ""its large end riding on two ball-bearings mounted on the crank-pin"", ""Inlet and exhaust valves are both operated by overhead rocker arms and tappets"", ""each of which is connected to a push rod by a ball joint"", ""The cam gear comprises two internally toothed rings known as \u201cgear rings,\u201d within which are the corresponding externally toothed gears"", ""These gears have 16 teeth as against 18 of the \u201cgear rings,\u201d and the gears are thus driven at nine-eighths of engine speed, and overtake the gear rings once in eight revolutions"", ""Each gear has four cams, so that in eight revolutions each tappet is lifted four times, i.e., once in every two revolutions"", ""Forced lubrication is fitted"", ""oil from the pump is led to an orifice in the crank-shaft, through which it is conducted by a copper pipe to a duct in the base of the rear web of the hollow crank-pin"", ""A bye-pass at the foot of the rear crank-pin supplies oil to the thrust box"", ""The bulk of the oil forced along the pipe inside the crank-shaft travels up the duct in the rear web to the crank-pin, where the stream diverges again into supplies for the connecting-rod assembly, the pistons and the cylinders on the one hand, and for the cam gear-box on the other hand"", ""The Bl\u0153ctube carburetter is screwed on the extreme rear end of the hollow crank-shaft, through which the explosive mixture passes to the orifice at the foot of the rear web of the crank, whence it passes into the main crank-case"", ""It is then sucked through a ring of holes into the gas chamber, which rotates with the thrust box and through the induction pipes, into the cylinders"", ""Ignition is provided by two M.L. magnetos of the revolving armature type, giving two sparks per revolution"", ""Normal b.h.p., 150"", ""weight (dry), 408 lb."", ""normal revolutions per minute, 1,250"", ""bore, 120 mm."", ""stroke, 170 mm."", ""petrol consumption, 13 gallons per hour"", ""oil consumption, 1.5 gallons per hour"", ""order of firing, 1, 3, 5, 7, 9, 2, 4, 6, 8"", ""Inlet valve opens 5 degrees before top dead centre and closes 58 degrees after bottom dead centre; exhaust valve opens 72 degrees before bottom dead centre and closes 7 degrees after top dead centre"", ""Ignition occurs at 22.5 degrees before top dead centre""], ""other"": [""Inv. 1920-44""]}","{""object_names"": [""150 H.P. BR1 engine""], ""makers"": [""B.R.""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Aircraft Propulsion engines; engines""], ""other"": [""No. 433"", ""W.D. No. 36903""]}"
41,36,13,1,1,1,3,2,1,1,1,1,1,28,3,2,3,"{""object_names"": [""200 H.P. B.H.P. AERO ENGINE""], ""makers"": [""Siddeley Deasy Motor Co., Ltd.""], ""organisations/institutions"": [""The Disposal Board"", ""Ministry of Munitions""], ""dates"": [""1920""], ""places"": [""Coventry""], ""descriptions"": [""water-cooled engine of the vertical type comprises six cylinders, cast in two blocks of three"", ""Each casting forms the cylinder heads, water jackets, valve passages and inlet manifold of three cylinders, into which steel liners are fitted forming the working barrels"", ""Near the level of the combustion chamber the jackets are divided horizontally into two portions, which are bolted together"", ""Leakage is prevented at the base of the aluminium jacket by means of a rubber ring, pressed against a shoulder of the steel liner by a castellated ring-nut screwed into the jacket"", ""The cylinder heads are flat, and each carries a large nickel-steel inlet valve and two smaller tungsten-steel exhaust valves, all operated by a single hollow cam-shaft, the exhaust valves being operated directly and the inlet valves through the agency of a small rocking lever"", ""The pistons are die cast from an aluminium alloy, and each carries three cast-iron rings near the head, and a scraper ring in the skirt"", ""High-tensile steel connecting-rods, machined to H section, connect with the six-cylinder seven-bearing type crank-shaft, the cranks of which are spaced 120 degrees apart"", ""The crank-case is in two portions, the upper portion, which is stiffened by cross webs, is formed integral with the housings of the crank-shaft bearings, and carries the eight supporting feet of the engine, in addition to the main lubrication filter and two breathers"", ""The lower half acts as an oil sump and a cover for the moving parts, and is furnished with sharply inclined gutters, which ensure that the filter remains constantly submerged in oil"", ""Lubrication is by means of two pumps, driven by a vertical shaft, which operates the whole of the accessories"", ""The upper pump draws oil from an external tank, and forces it by way of a filter into a manifold, which, by means of branch pipes, supplies oil to the journal bearings, the thrust housing, the vertical shaft, and the skew gearing operating the magnetos"", ""Oil fed to the main crank-shaft bearings passes into the hollow journals, and by way of holes drilled in the crank-webs, to the crank pins, whence it is flung on to the cylinder walls and the little ends of the connecting-rods"", ""From the front end of the manifold a small pipe conveys oil through the hollow cam-shaft to the cam-shaft bearings, when it is flung on to the cams, rocking levers, and valve heads"", ""Oil which collects in the base of the chamber is drawn out by the second pump and delivered back to the oil tank"", ""Two independent sparking plugs are fitted in each cylinder, one set being connected to a Fellows E.M. 6 type magneto, the second set being served by a small six-volt battery, through a Remy combined contact breaker and distributer mounted at the rear end of the cam-shaft housing, and a coil carried on other magneto platform"", ""Two Zenith carburetters are fitted"", ""Normal b.h.p., 246"", ""maximum b.h.p., 255"", ""bore, 145 mm."", ""stroke, 190 mm."", ""normal revolutions per minute, 1,400"", ""weight (without cooling water), 625 lb."", ""oil consumption, 1\u00b78 gallons per hour"", ""petrol consumption, 17 gallons per hour"", ""order of firing, 1, 5, 3, 6, 2, 4"", ""valve timing, inlet valve opens 7 degrees after top dead centre and closes 43 degrees after bottom dead centre"", ""exhaust valve opens 58 degrees before bottom dead centre and closes 12 degrees after top dead centre"", ""ignition occurs at maximum advance, 37\u00bd degrees before top dead centre""], ""other"": [""Inv. 1920-48""]}","{""object_names"": [""200 H.P. bhp Aero Engine No. 5611""], ""makers"": [""Beardmore-Halford-Pullinger"", ""Armstrong-Siddeley""], ""organisations/institutions"": [], ""dates"": [""1917""], ""places"": [], ""descriptions"": [""known as the Puma engine"", ""Aircraft Propulsion engines; engines""], ""other"": [""No. 5611"", ""W.D. No. 23285""]}"
